Candidato;Tweet;Fecha;# Retweets;# Likes;Ubicación (usuario);Ubicación (tweet)
Andrés Arauz;"RT @esiguencia65: URGENTE
#CorreaPresente, #ArauzPresidente.
Con #ElBinomioDeLaEsperanza y 
#LaAsambleaDeLaEsperanza recuperaremos nuestra…";Sat Jan 30 22:14:24 +0000 2021;3;3;Cotopaxi, Ecuador;
Andrés Arauz;RT @MagdaRoblesL: #AndrésArauz: Le tomaremos la palabra a la propuesta del candidato banquero y nos comprometemos a que todo trabajador…;Sat Jan 30 22:14:29 +0000 2021;269;511;Estero Salado;
Andrés Arauz;El candidato a la Presidencia del Ecuador, #AndrésArauz se ha quedado sin palabras para responder a la revelación d… https://t.co/bDjPRFLEqM;Sat Jan 30 22:14:34 +0000 2021;0;0;Santo Domingo, Ecuador;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:14:46 +0000 2021;117;126;Santo Domingo, Ecuador;
Andrés Arauz;RT @MagdaRoblesL: #AndrésArauz: Le tomaremos la palabra a la propuesta del candidato banquero y nos comprometemos a que todo trabajador…;Sat Jan 30 22:15:23 +0000 2021;270;512;Santo Domingo, Ecuador;
Andrés Arauz;RT @maferegas: El candidato a la Presidencia del Ecuador, #AndrésArauz se ha quedado sin palabras para responder a la revelación de Semana…;Sat Jan 30 22:15:27 +0000 2021;1;0;Santo Domingo, Ecuador;
Andrés Arauz;RT @MashiRafael: Andrés Arauz tiene un plan laboral para los jóvenes - Andrés Arauz https://t.co/FhjMcl4sir;Sat Jan 30 22:16:17 +0000 2021;869;2112;Guayaquil;
Andrés Arauz;RT @maferegas: El candidato a la Presidencia del Ecuador, #AndrésArauz se ha quedado sin palabras para responder a la revelación de Semana…;Sat Jan 30 22:16:17 +0000 2021;2;1;Guayaquil;
Andrés Arauz;RT @ecuadorenvivo: Consejero del #CNE pide suspensión de derechos políticos de #AndrésArauz por supuesta realización de pruebas de #coronav…;Sat Jan 30 22:16:21 +0000 2021;19;36;Guayaquil, Ecuador;
Andrés Arauz;RT @MagdaRoblesL: #AndrésArauz: Le tomaremos la palabra a la propuesta del candidato banquero y nos comprometemos a que todo trabajador…;Sat Jan 30 22:16:23 +0000 2021;271;512;Guayaquil, Ecuador;
Andrés Arauz;Andrés Arauz tiene un plan laboral para los jóvenes en Ecuador #UnaSolaVuelta #ArauzPresidente #UnaSolaVuelta #UNO  https://t.co/8nCeD7bO13;Sat Jan 30 22:16:38 +0000 2021;0;0;Guayaquil, Ecuador;
Andrés Arauz;"@mauroandinoe ""las trabas a @ecuarauz han terminado por fortalecer esta opción electoral""
#Elecciones2021… https://t.co/KpbQUiieyI";Sat Jan 30 22:17:01 +0000 2021;0;0;Orellana, Ecuador;
Andrés Arauz;RT @gustavofatica: ¡Vamos a recuperar la patria! España bastión de la revolución #ArauzPresidente #TodoTodito1 🟠☝️🗳✍🏼🇪🇸🇪🇨 https://t.co/bdVk…;Sat Jan 30 22:17:06 +0000 2021;15;11;Orellana, Ecuador;
Andrés Arauz;RT @maferegas: El candidato a la Presidencia del Ecuador, #AndrésArauz se ha quedado sin palabras para responder a la revelación de Semana…;Sat Jan 30 22:17:20 +0000 2021;3;2;Orellana, Ecuador;
Andrés Arauz;Lo hará cuando tengamos gobierno , es un deber 😎💪 #ArauzPresidente;Sat Jan 30 22:17:25 +0000 2021;0;0;Orellana, Ecuador;
Andrés Arauz;RT @AlexisSanchezEC: #AndresArauz Presidente !;Sat Jan 30 22:17:33 +0000 2021;31;68;Orellana, Ecuador;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:17:48 +0000 2021;118;128;Pichincha, Ecuador;
Andrés Arauz;RT @maferegas: El candidato a la Presidencia del Ecuador, #AndrésArauz se ha quedado sin palabras para responder a la revelación de Semana…;Sat Jan 30 22:17:53 +0000 2021;4;3;Pichincha, Ecuador;
Andrés Arauz;RT @maferegas: El candidato a la Presidencia del Ecuador, #AndrésArauz se ha quedado sin palabras para responder a la revelación de Semana…;Sat Jan 30 22:18:20 +0000 2021;5;4;Pichincha, Ecuador;
