Candidato;Tweet;Fecha;# Retweets;# Likes;Ubicación (usuario)
Yaku Pérez;"RT @PKnacional18: #RuedaDePrensa  
Organizaciones sociales ratifican el apoyo a nuestro compañero Yaku Perez Guartambel.
Acompáñanos 
#Yaku…";Sun Jan 31 ;5;14;Pichincha, Ecuador
Yaku Pérez;"RT @yakuperezg: ¡Caravana de cierre de campaña en Quito 🚲🚗!

🗓 Miércoles, 3 de febrero
🏠 Parroquia Cutuglagua (salida)
⏰09:00 am

#ClaroQue…";Sun Jan 31 ;3;7;Pichincha, Ecuador
Yaku Pérez;"RT @yakuperezg: ¡Caravana de cierre de campaña en Quito 🚲🚗!

🗓 Miércoles, 3 de febrero
🏠 Parroquia Cutuglagua (salida)
⏰09:00 am

#ClaroQue…";Sun Jan 31 ;4;8;Pichincha, Ecuador
Yaku Pérez;"RT @yakuperezg: ¡Caravana de cierre de campaña en Quito 🚲🚗!

🗓 Miércoles, 3 de febrero
🏠 Parroquia Cutuglagua (salida)
⏰09:00 am

#ClaroQue…";Sun Jan 31 ;5;8;Pichincha, Ecuador
Yaku Pérez;"RT @yakuperezg: ¡Por eso #Yaku es la mejor opción!

#YakuPresidente
#ClaroQueSePuede
#YakuEs https://t.co/RVzsO83q5k";Sun Jan 31 ;64;207;Pichincha, Ecuador
Yaku Pérez;RT @yakuperezg: Hoy a partir de las 10:00 pm, te invito a seguir en vivo mi entrevista en @CNNEE para conocer nuestra propuesta de campaña.…;Sun Jan 31 ;17;45;Pichincha, Ecuador
Yaku Pérez;@RiksinakuyEc pasa la voz;Sun Jan 31 ;0;0;Pichincha, Ecuador
Yaku Pérez;RT @yakuperezg: Hoy a partir de las 10:00 pm, te invito a seguir en vivo mi entrevista en @CNNEE para conocer nuestra propuesta de campaña.…;Sun Jan 31 ;17;46;Pichincha, Ecuador
Yaku Pérez;"@virnacedenoe #YakuPresidente #VirnaVicepresidenta
#ClaroQueSePuede";Sun Jan 31 ;0;0;Pichincha, Ecuador
Yaku Pérez;"RT @yakuperezg: Agenda de medios 🎙️📻

Estamos a pocos días de celebrar el proceso democrático de una elección presidencial, por eso te invi…";Sun Jan 31 ;16;54;Pichincha, Ecuador
Yaku Pérez;"RT @yakuperezg: Se viene un gobierno de respeto y unión para #Ecuador.

#ClaroQueSePuede
#YakuPresidente
#YakuEs https://t.co/W5P6WJCUtA";Sun Jan 31 ;26;58;Pichincha, Ecuador
Yaku Pérez;"RT @yakuperezg: Con transparencia y manos limpias sabremos cambiar el ritmo de nuestro país.

#ClaroQueSePuede
#YakuPresidente https://t.co…";Sun Jan 31 ;27;83;Pichincha, Ecuador
Yaku Pérez;"RT @yakuperezg: Somos la única opción para vencer al correísmo. Este 7 de febrero votemos con consciencia y convicción.

#ClaroQueSePuede…";Thur Mar 04;61;178;Pichincha, Ecuador
Guillermo Lasso;RT @FaustoCoboM3: @luisevivanco Estos últimos días de campaña, TODOS los de la orilla de la DECENCIA, a pesar de algunas diferencias, a VOT…;Thur Mar 04;4;9;Pichincha, Ecuador
Guillermo Lasso;RT @aleperaltaale26: Hay que hacer voto útil, #LassoPresidente2021 es la opción para quienes quieren evitar que Lelo Arauz conduzca al país…;Thur Mar 04;5;7;Pichincha, Ecuador
Guillermo Lasso;RT @aleperaltaale26: Hay que hacer voto útil, #LassoPresidente2021 es la opción para quienes quieren evitar que Lelo Arauz conduzca al país…;Thur Mar 04;6;7;Pichincha, Ecuador
Guillermo Lasso;RT @finamunizaga: @RominaSotomayo2 @ArellaProano Lasso Presidente vamos por el Cambio;Thur Mar 04;1;1;Imbabura,Ecuador
Guillermo Lasso;RT @FaustoCoboM3: @RaGecuador En estas elecciones DECIDIMOS entre DOS MODELOS: la continuación de 14 años de CORRUPCIÓN DEL CORREATO o el C…;Thur Mar 04;1;2;Imbabura,Ecuador
Guillermo Lasso;@tinocotania LASSO PRESIDENTE;Thur Mar 04;1;1;Imbabura,Ecuador
Guillermo Lasso;Mi voto será por Herbas ha sido el que mejor propuestas hizo aunque se que no va ganar pero si hay segunda vuelta q… https://t.co/G3gPLHBe3q;Thur Mar 04;10;1;Imbabura,Ecuador
Guillermo Lasso;Señor.. recuerde el salvataje bancario del 99.. y la fuga de capitales a paraísos fiscales... Todo 1.. 1.. 1..;Thur Mar 04;5;10;Imbabura,Ecuador
Guillermo Lasso;RT @semarco: El voto razonable es por  @LassoGuillermo. A los que piensan votar nulo,  les pido que se den una oportunidad votando por Lass…;Thur Mar 04;235;620; El Oro, Ecuador
Guillermo Lasso;RT @FaustoCoboM3: Mientras LASSO compromete firme respaldo a POLICÍAS y MILITARES en la lucha contra la delincuencia, narcotráfico y terror…;Thur Mar 04;168;341; El Oro, Ecuador
Guillermo Lasso;RT @FaustoCoboM3: Mientras LASSO compromete firme respaldo a POLICÍAS y MILITARES en la lucha contra la delincuencia, narcotráfico y terror…;Thur Mar 04;169;340;Pichincha, Ecuador
Guillermo Lasso;@Fuckinwasteland @luisevivanco @LaPosta_Ecu @AnderssonBoscan El correísmo tiene voto duro, asegurado el grueso de s… https://t.co/7Dkazn81Sc;Fri Mar 05 ;1;1;Pichincha, Ecuador
Guillermo Lasso;@_davidcando_;Fri Mar 05 ;1;1; El Oro, Ecuador
